Region,TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales
EU,146.5,101.59,181.48,0,982.82
EU,161.86,70.93,91.73,1,746.99
EU,49.48,58.56,215.86,0,633.8
NA,182.77,93.17,78.49,0,1005.19
EU,84.25,64.99,193.34,0,719.77
NA,297.43,53.59,127.09,0,1292.86
NA,103.03,62.01,114.24,0,627.91
NA,138.73,15.15,109.3,1,606.19
EU,59.1,141.48,122.23,0,934.85
EU,148.14,45.62,81.62,0,580.24
EU,185.25,24.65,178.11,0,654.02
NA,55.24,12.86,18.65,0,280.92
EU,186.88,80.62,185.83,0,918.24
EU,23.18,33.38,199.17,0,465.36
EU,47.96,89.2,70.51,0,609.78
NA,246.37,54.49,78.51,0,1088.54
EU,66.82,111.95,54.46,1,749.72
EU,72.59,131.97,66.98,0,842.3
NA,276.29,44.62,145.13,0,1180.9
EU,78.41,46.63,165.78,0,567.19
EU,50.41,93.59,73.32,0,638.5
NA,216.99,91.73,105.7,0,1131.31
NA,271.75,57.43,23.59,0,1206.37
EU,193.94,117.11,94.18,0,990.1
NA,129.67,50.29,38.72,0,689.42
NA,73.36,77.4,123.18,0,573.92
EU,94.18,48.8,57.63,0,486.43
NA,50.45,55.26,30.71,0,437.05
NA,125.38,75.97,19.48,0,760.71
NA,200.35,33.92,101.45,0,855.15
NA,148.84,43.77,48.43,0,731.23
NA,92.68,73.71,99.92,0,622.28
EU,190.92,44.39,247.07,0,826.71
EU,175.4,81.53,57.95,0,749.39
EU,128.19,137.44,118.68,0,1032.64
EU,100.55,148.54,69.36,1,995.24
NA,166.93,75.63,63.54,1,917.75
EU,128.84,130.65,123.61,1,1021.43
NA,68.8,33.14,70.01,1,444.11
EU,114.87,101.03,234.16,0,951.56
EU,111.72,148.72,248.72,0,1211.04
EU,154.6,130.62,132.32,0,1027.21
EU,120.49,119.64,179.49,0,1010.7
NA,128.46,86.25,89.93,0,791.14
NA,215.74,64.65,100.79,0,1033.62
EU,98.17,64.29,102.94,0,607.1
NA,289.46,61.47,64.58,0,1259.12
NA,157.68,29.78,40.17,1,751.59
EU,107.23,46.42,222.05,0,670.35
NA,203.31,92.42,109.1,0,1076.42
NA,61.55,93.65,97.22,0,594.03
NA,247.45,92.86,41.03,0,1236.16
NA,209.34,94.76,116.53,0,1128.64
EU,61.11,114.01,107.46,1,832.13
NA,236.62,99.93,94.58,1,1263.47
NA,139.89,78.94,112.11,1,815.46
EU,138.22,99.27,204.81,0,991.7
NA,55.91,25.15,38.12,0,337.24
NA,257.76,71.84,106.84,0,1203.98
NA,94.34,19.33,31.77,0,458.31
EU,183.62,109.35,142.69,0,1014.17
EU,77.38,68.67,221.17,0,741.93
NA,81.25,28.64,21.71,0,414.8
EU,134.58,69.1,142.97,0,753.22
EU,142.09,26.76,198.97,0,608.24
NA,286.55,43.42,123.96,0,1207.23
NA,141.43,99.16,72.33,0,918.62
NA,204.53,68.69,90.3,0,1021.53
EU,87.38,97.53,75.02,0,715.4
NA,83.13,67.51,74.33,0,591.4
NA,87.4,63.87,30.79,0,600.74
EU,25.62,101.9,104.92,0,685.37
EU,127.87,101.33,177.34,0,927.5
EU,63.94,50.35,198.88,0,595.33
EU,22.85,83.79,65.59,0,549.67
EU,32.46,29.27,242.02,0,504.72
NA,154.07,92.78,19.78,0,934.85
EU,29.42,82.73,161.05,0,653.95
EU,150.56,41.38,173.48,0,659.0
EU,66.01,104.1,144.87,0,807.49
NA,226.65,78.15,111.66,0,1140.82
NA,298.0,72.53,88.46,0,1346.93
NA,185.61,62.5,54.09,1,946.53
NA,214.9,23.08,54.03,0,862.83
NA,86.76,15.75,63.02,0,404.77
NA,145.82,26.6,35.78,0,659.22
NA,139.56,70.72,19.95,0,766.07
EU,122.22,75.76,148.69,0,759.25
NA,86.15,56.34,124.85,0,537.79
NA,107.63,91.34,73.22,1,766.24
NA,246.93,28.85,50.91,0,1038.3
NA,66.93,55.82,99.75,0,489.03
NA,75.25,81.06,55.37,0,599.78
NA,209.64,77.28,133.81,0,1067.27
EU,61.07,65.45,102.18,1,580.53
NA,201.1,82.91,47.41,0,1065.42
NA,268.91,14.56,123.35,0,1037.92
NA,213.95,91.64,133.09,1,1132.03
